	km	price	HorsePower	Engine	doors	people	Automata	Automatizált	Duplakuplung	Fokozatmentes	Manuális	Tiptronic	Eladó	Benzin	Benzin/Gáz	Dízel	Egyéb	Elektr.	Hibrid	Használt	Új	Minősített Prémium kereskedő	Minősített kereskedő	Minősített magánszemély	Márkakereskedő	Nem minősített eladó	Regisztrált kereskedő	ALFA	AUDI	BMW	CHEVROLET	CITROEN	DACIA	DAEWOO	DODGE	FIAT	FORD	HONDA	HYUNDAI	INFINITI	IVECO	JAGUAR	JEEP	KIA	LADA	LANCIA	LAND	LEXUS	MAZDA	MERCEDES-BENZ	MINI	MITSUBISHI	NISSAN	OPEL	PEUGEOT	PORSCHE	RENAULT	ROVER	SAAB	SEAT	SKODA	SMART	SSANGYONG	SUBARU	SUZUKI	TOYOTA	VOLKSWAGEN	VOLVO	Age	Location	Yearly_usage_in_km
0	83100	3790000	75	1248	5	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.451060917180014	1	15244.7388247112
1	127440	4199000	120	1560	5	5	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.618069815195072	0	22683.947368421053
2	41416	4499000	125	999	5	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.450376454483231	0	6420.710526315789
3	121904	4790000	84	1248	5	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.114305270362765	1	23835.886509635977
4	94261	6950000	150	1395	5	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6.532511978097194	1	14429.518126571667
5	59500	7480000	152	1969	4	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5.032169746748802	1	11823.925462459196
6	99000	8990000	220	1984	5	5	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5.69472963723477	1	17384.49519230769
7	57000	9480000	190	1995	5	5	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.366187542778919	1	10622.066326530612
8	114000	9899000	150	1968	5	5	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3.4496919917864477	0	33046.42857142857
9	62632	13799000	184	1998	4	5	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.032854209445585	0	15530.439918533606
