	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
0	HYUNDAI  i20	I20 1.25i LP Fresh 1 év garancia / ÁFÁS / magyarországi	Auto Palace Buda Kft.	(XI. kerület)	Márkakereskedő	2018. 05.	83 100 km	3 790 000 Ft	83 100 km	75 LE	1248 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
1	PEUGEOT  308	308 SW 1.6 BlueHDi Allure	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2018. 03.	127 440 km	4 199 000 Ft	127 440 km	120 LE	1560 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
2	FORD  Focus	Focus 1.0 EcoBoost Technology S/S	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2017. 05.	41 416 km	4 499 000 Ft	41 416 km	125 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
3	KIA  Stonic	STONIC 1.25 MPI EX Limited ÁFÁS / sérülésmentes / magyarországi / 1 tulaj / téligumi garnitúra	Auto Palace Buda Kft.	(XI. kerület)	Márkakereskedő	2018. 09.	121 904 km	4 790 000 Ft	121 904 km	84 LE	1248 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
4	SKODA  Superb	SUPERB 1.4 TSI ACT Ambition 1 év garancia / magyarországi / sérülésmentes / friss szervízzel	Auto Palace Buda Kft.	(XI. kerület)	Márkakereskedő	2017. 04.	94 261 km	6 950 000 Ft	94 261 km	150 LE	1395 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
5	VOLVO  S60	S60 2.0 	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2018. 10.	59 500 km	7 480 000 Ft	59 500 km	152 LE	1969 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
6	SKODA  Superb	SUPERB Combi 2.0 TSI L&K DSG 1 év garancia / ÁFÁS / sérülésmentes / magyarországi / 1 tulajdonsotól	Auto Palace Buda Kft.	(XI. kerület)	Márkakereskedő	2018. 02.	99 000 km	8 990 000 Ft	99 000 km	220 LE	1984 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Automata
7	BMW  X2	X2 sDrive20d Advantage Aut.	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2018. 06.	57 000 km	9 480 000 Ft	57 000 km	190 LE	1995 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
8	SKODA  Superb	Superb 2.0 TDI SCR Style	Expressive Automobil Kft.	(Debrecen)	Minősített Prémium kereskedő	2020. 05.	114 000 km	9 899 000 Ft	114 000 km	150 LE	1968 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
9	BMW  5-ös sorozat	530e Aut.	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2019. 10.	62 632 km	13 799 000 Ft	62 632 km	184 LE	1998 cm3	Hibrid	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
10	MERCEDES-BENZ  GLC-osztály	GLC 250 4Matic 9G-TRONIC	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2018. 04.	80 511 km	13 999 000 Ft	80 511 km	211 LE	1991 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
11	VOLKSWAGEN  Polo	Polo 1.0 TSI Comfortline DSG	Expressive Automobil Kft.	(Debrecen)	Minősített Prémium kereskedő	2021. 07.	41 000 km	6 999 000 Ft	41 000 km	95 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12	FORD  Ranger	Ranger 2.0 TDCi 4x4 Wild Trak Aut.	Maxliner Hungary Kft.	(Mátészalka)	Minősített Prémium kereskedő	2022. 08.	2 500 km	18 990 000 Ft	2 500 km	213 LE	1996 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	5 fő	Tiptronic
13	PEUGEOT  208	208 1.6 BlueHDi Van Active 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2017. 09.	146 620 km	1 889 000 Ft  + Áfa	146 620 km	75 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
14	RENAULT  Kangoo	Kangoo Express 1.5 dCi Comfort 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2015. 01.	198 878 km	1 989 000 Ft  + Áfa	198 878 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
15	CITROEN  C3	C3 1.6 BlueHDi Profi 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 07.	135 500 km	1 989 000 Ft  + Áfa	135 500 km	75 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
16	RENAULT  Kangoo	Kangoo Express 1.5 dCi Comfort 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2015. 01.	198 878 km	2 089 000 Ft  + Áfa	198 878 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
17	CITROEN  C3	C3 1.0 PureTech Vitamin 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2015. 02.	115 094 km	2 099 000 Ft	115 094 km	68 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
18	OPEL  Corsa	Corsa 1.3 CDTI Van Start-Stop 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2018. 07.	159 266 km	2 189 000 Ft  + Áfa	159 266 km	75 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
20	OPEL  Combo	Combo Van 1.4 T CNG L1H1 2.4t E6 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2015. 02.	122 572 km	2 289 000 Ft  + Áfa	122 572 km	120 LE	1368 cm3	Benzin/Gáz	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
21	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2018. 01.	159 790 km	2 289 000 Ft  + Áfa	159 790 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
22	RENAULT  Kangoo	Kangoo Express 1.5 dCi Comfort Start&Stop Euro6 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 12.	197 496 km	2 289 000 Ft  + Áfa	197 496 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
23	RENAULT  Kangoo	Kangoo Express 1.5 dCi Comfort Start&Stop Euro6 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 01.	187 128 km	2 289 000 Ft  + Áfa	187 128 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
24	FIAT  Panda	Panda 1.2 8V Pop EU6 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2015. 12.	120 910 km	2 299 000 Ft	120 910 km	69 LE	1242 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	4 fő	Manuális
