brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
HYUNDAI  i20,I20 1.25i LP Fresh 1 év garancia / ÁFÁS / magyarországi,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2018. 05.,83 100 km,3 790 000 Ft
PEUGEOT  308,308 SW 1.6 BlueHDi Allure,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2018. 03.,127 440 km,4 199 000 Ft
FORD  Focus,Focus 1.0 EcoBoost Technology S/S,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2017. 05.,41 416 km,4 499 000 Ft
KIA  Stonic,STONIC 1.25 MPI EX Limited ÁFÁS / sérülésmentes / magyarországi / 1 tulaj / téligumi garnitúra,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2018. 09.,121 904 km,4 790 000 Ft
SKODA  Superb,SUPERB 1.4 TSI ACT Ambition 1 év garancia / magyarországi / sérülésmentes / friss szervízzel,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2017. 04.,94 261 km,6 950 000 Ft
VOLVO  S60,S60 2.0 ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 10.,59 500 km,7 480 000 Ft
SKODA  Superb,SUPERB Combi 2.0 TSI L&K DSG 1 év garancia / ÁFÁS / sérülésmentes / magyarországi / 1 tulajdonsotól,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2018. 02.,99 000 km,8 990 000 Ft
BMW  X2,X2 sDrive20d Advantage Aut.,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 06.,57 000 km,9 480 000 Ft
SKODA  Superb,Superb 2.0 TDI SCR Style,Expressive Automobil Kft.,(Debrecen),Minősített Prémium kereskedő,2020. 05.,114 000 km,9 899 000 Ft
BMW  5-ös sorozat,530e Aut.,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2019. 10.,62 632 km,13 799 000 Ft
MERCEDES-BENZ  GLC-osztály,GLC 250 4Matic 9G-TRONIC,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2018. 04.,80 511 km,13 999 000 Ft
VOLKSWAGEN  Polo,Polo 1.0 TSI Comfortline DSG,Expressive Automobil Kft.,(Debrecen),Minősített Prémium kereskedő,2021. 07.,41 000 km,6 999 000 Ft
FORD  Ranger,Ranger 2.0 TDCi 4x4 Wild Trak Aut.,Maxliner Hungary Kft.,(Mátészalka),Minősített Prémium kereskedő,2022. 08.,2 500 km,18 990 000 Ft
PEUGEOT  208,208 1.6 BlueHDi Van Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 09.,146 620 km,1 889 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 01.,198 878 km,1 989 000 Ft  + Áfa
CITROEN  C3,C3 1.6 BlueHDi Profi ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 07.,135 500 km,1 989 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 01.,198 878 km,2 089 000 Ft  + Áfa
CITROEN  C3,C3 1.0 PureTech Vitamin ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2015. 02.,115 094 km,2 099 000 Ft
OPEL  Corsa,Corsa 1.3 CDTI Van Start-Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 07.,159 266 km,2 189 000 Ft  + Áfa
DACIA  Logan,LOGAN II MCV 0.9 TCe Arctic Mo-i - EGYGAZDÁS - SÉRÜLÉSMENTES - FRISS SZERVIZ!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2013. 01.,181 966 km,2 198 000 Ft
OPEL  Combo,Combo Van 1.4 T CNG L1H1 2.4t E6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 02.,122 572 km,2 289 000 Ft  + Áfa
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 01.,159 790 km,2 289 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort Start&Stop Euro6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 12.,197 496 km,2 289 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort Start&Stop Euro6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 01.,187 128 km,2 289 000 Ft  + Áfa
FIAT  Panda,Panda 1.2 8V Pop EU6 ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2015. 12.,120 910 km,2 299 000 Ft
DACIA  Dokker,DOKKER Van 1.5 dCi Ambiance 1Év garanciával!Magyarországi!Leinformálható!Áfás!Azonnal Elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2015. 05.,119 000 km,2 299 000 Ft  + Áfa
OPEL  Combo,Combo Van 1.4 T CNG L1H1 2.4t E6,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2015. 02.,120 390 km,2 299 000 Ft  + Áfa
PEUGEOT  208,208 1.5 BlueHDi Van Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 05.,167 619 km,2 349 000 Ft  + Áfa
SKODA  Fabia,Fabia Combi 1.2 TSi Ambition ,B-A Autókereskedés és Autókölcsönző,(Keszthely),Minősített Prémium kereskedő,2013. 12.,116 050 km,2 350 000 Ft
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 03.,198 834 km,2 389 000 Ft  + Áfa
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 04.,153 717 km,2 389 000 Ft  + Áfa
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 03.,160 666 km,2 489 000 Ft  + Áfa
PEUGEOT  301,301 1.6 BlueHDi Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 11.,126 348 km,2 489 000 Ft
DACIA  Dokker,DOKKER VAN 1.5 dCi Ambiance Mo-i - VALÓS 93e KM FUTÁS - ELSŐ TULAJDONOSTÓL - FRISS VIZSGA!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,93 715 km,2 498 000 Ft  + Áfa
OPEL  Combo,Combo Van 1.3 CDTI L1H1 2.2t ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 10.,80 584 km,2 589 000 Ft  + Áfa
PEUGEOT  208,208 1.5 BlueHDi Van Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2020. 01.,122 592 km,2 589 000 Ft  + Áfa
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 05.,143 756 km,2 589 000 Ft  + Áfa
CITROEN  C3,C3 1.5 BlueHDi Profi S&S Mo-i - EGYGAZDÁS - SZÉP ÁLLAPOT - SZERVIZKÖNYV - GYÁRI FÉNYEZÉS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,133 298 km,2 598 000 Ft  + Áfa
SKODA  Fabia,FABIA 1.0 Easy SÉRÜLÉSMENTES - 74e KM FUTÁSSAL!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,74 563 km,2 598 000 Ft
LADA  Kalina,Kalina 1.6 Lux,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2017. 01.,70 256 km,2 599 000 Ft
FORD  Focus,Focus 1.0 EcoBoost Trend ,Hexa Autókereskedés,(Nyíregyháza),Minősített Prémium kereskedő,2017. 08.,179 000 km,2 649 000 Ft
FORD  Fiesta,Fiesta 1.25 Technology ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2014. 07.,130 888 km,2 685 000 Ft
