infos
83 100 km,75 LE,1248 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
127 440 km,120 LE,1560 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
41 416 km,125 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
121 904 km,84 LE,1248 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
94 261 km,150 LE,1395 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
59 500 km,152 LE,1969 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,4 ajtós,5 fő,Manuális
99 000 km,220 LE,1984 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Automata
57 000 km,190 LE,1995 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Tiptronic
114 000 km,150 LE,1968 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
62 632 km,184 LE,1998 cm3,Hibrid,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Tiptronic
80 511 km,211 LE,1991 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Tiptronic
41 000 km,95 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Duplakuplung
2 500 km,213 LE,1996 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,5 fő,Tiptronic
146 620 km,75 LE,1560 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
198 878 km,90 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
135 500 km,75 LE,1560 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
198 878 km,90 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
115 094 km,68 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
159 266 km,75 LE,1248 cm3,Dízel,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
181 966 km,88 LE,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
122 572 km,120 LE,1368 cm3,Benzin/Gáz,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
159 790 km,75 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
197 496 km,90 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
187 128 km,90 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
120 910 km,69 LE,1242 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Manuális
119 000 km,90 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
120 390 km,120 LE,1368 cm3,Benzin/Gáz,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
167 619 km,99 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
116 050 km,86 LE,1197 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
198 834 km,105 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
153 717 km,75 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
160 666 km,105 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
126 348 km,99 LE,1560 cm3,Dízel,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
93 715 km,88 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,Manuális
80 584 km,90 LE,1248 cm3,Dízel,Kishaszon,Használt,Eladó,3 ajtós,2 fő,Manuális
122 592 km,99 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
143 756 km,105 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
133 298 km,100 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,Manuális
74 563 km,58 LE,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
70 256 km,96 LE,1596 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
179 000 km,101 LE,999 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,4 ajtós,5 fő,Manuális
130 888 km,82 LE,1242 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
139 950 km,101 LE,1560 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,3 fő,Manuális
137 722 km,101 LE,1560 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,3 fő,Manuális
148 759 km,105 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
93 966 km,75 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
148 394 km,105 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
110 187 km,100 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,Manuális
124 924 km,100 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,Manuális
168 382 km,75 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
125 012 km,105 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
175 128 km,75 LE,1248 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
183 223 km,75 LE,1560 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
137 000 km,87 LE,1398 cm3,Benzin,Ferdehátú,Használt,Eladó,3 ajtós,4 fő,Manuális
103 162 km,90 LE,1461 cm3,Dízel,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
168 679 km,110 LE,1686 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
181 253 km,90 LE,1197 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
160 832 km,101 LE,1398 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
122 100 km,99 LE,1560 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,3 fő,Manuális
100 300 km,74 LE,1560 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
178 095 km,108 LE,1197 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
68 000 km,82 LE,1199 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
101 690 km,68 LE,1242 cm3,Benzin,Ferdehátú,Használt,Eladó,3 ajtós,4 fő,Manuális
107 169 km,60 LE,1242 cm3,Benzin,Ferdehátú,Használt,Eladó,3 ajtós,5 fő,Manuális
59 011 km,85 LE,1398 cm3,Benzin,Ferdehátú,Használt,Eladó,3 ajtós,4 fő,Manuális
138 300 km,82 LE,1199 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
83 165 km,90 LE,1461 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
188 531 km,116 LE,1598 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
139 158 km,100 LE,1560 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
188 531 km,116 LE,1598 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
173 035 km,99 LE,1329 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
164 000 km,82 LE,1199 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Automatizált
133 980 km,99 LE,1396 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
140 142 km,109 LE,1197 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
125 616 km,120 LE,1598 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
144 000 km,116 LE,1598 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
186 720 km,99 LE,1560 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
68 000 km,105 LE,1596 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
97 641 km,72 LE,1149 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
176 000 km,95 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
165 804 km,95 LE,1499 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
81 000 km,95 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
146 869 km,110 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
20 549 km,64 LE,Elektr.,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Fokozatmentes
153 148 km,109 LE,1461 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
89 760 km,90 LE,898 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
114 423 km,90 LE,1197 cm3,Benzin,Eladó,5 ajtós,5 fő,Manuális
180 139 km,120 LE,1560 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
151 669 km,81 LE,1199 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
111 723 km,140 LE,1364 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
114 890 km,67 LE,998 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
141 230 km,105 LE,875 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
169 616 km,125 LE,1596 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
31 000 km,80 LE,1248 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
